0,6,6,3.5454,3.58169,0.164641,0.174098,0.1491,0.0839545,0.31749,0.2,0.174098,0.165233,0.217344,0.177805,0.164641,0.158673,0.180303,0.31749,0.0684305,0.101714,0.119085,0.0839545,0.727982,0.51445,2,0,4
1,9,15,3.03192,3.04267,0.179923,0.174098,0.168941,0.250792,0.31749,0.532718,0.174976,0.166466,0.227716,0.179923,0.170519,0.168941,0.182754,0.275327,0.0825396,0.0101248,0.250792,0.143188,0.532718,0.399309,4,4,7
2,13,28,2.97926,2.99692,0.179923,0.184285,0.168941,0.250792,0.481571,0.532718,0.178901,0.171218,0.249751,0.190092,0.179337,0.171247,0.184285,0.203739,0.106228,0.00415586,0.187882,0.367263,0.824844,0.481571,9,8,11
3,7,35,2.74054,2.75429,0.291908,0.184285,0.168941,0.0177187,0.481571,0.532718,0.182473,0.17516,0.291908,0.194213,0.185198,0.178983,0.201782,0.142174,0.111489,0.0177187,1.37047,0.116435,0.759572,0.666306,11,12,12
4,5,40,3.21836,3.248,0.198337,0.184285,0.168941,1.68926,0.481571,0.532718,0.183064,0.194613,0.31419,0.198337,0.188752,0.180109,0.207586,0.0560145,0.135794,0.02475,1.68926,0.154191,1.72689,0.433849,13,12,15
5,15,55,2.9284,3.04364,0.193676,0.184285,0.186613,0.271504,0.481571,1.88301,0.193676,0.197634,0.315665,0.201185,0.200552,0.186613,0.214782,0.271504,0.235059,0.0101237,2.15913,0.161331,1.88301,0.387375,16,21,18
6,5,60,2.96505,3.00595,0.203671,0.184285,0.186613,0.127522,0.481571,1.88301,0.199913,0.210027,0.324194,0.234924,0.203671,0.212479,0.224644,0.221177,0.111504,0.00450616,0.366485,0.127522,5.0889,0.0732979,18,22,20
7,5,65,2.62347,2.624,0.212528,0.239276,0.212528,4.5169,0.0523556,4.5169,0.205514,0.214585,0.32784,0.248824,0.203689,0.212528,0.239276,0.255376,0.183338,0.00154219,0.700451,0.72615,4.5169,0.0523556,22,23,20
8,10,75,2.74935,2.75683,0.212528,0.239276,0.212528,4.5169,0.0523556,4.5169,0.217355,0.216792,0.376075,0.250397,0.20971,0.223128,0.256177,0.351071,0.209745,0.00076419,1.5339,0.260395,6.25308,0.0143353,27,26,22
9,6,81,2.92582,3.03761,0.212528,0.239276,0.212528,4.5169,0.0523556,4.5169,0.227478,0.229261,0.400574,0.272761,0.224079,0.22921,0.272291,2.10688,0.557117,0.000328241,2.83568,0.108255,6.89227,0.0132206,29,29,23
10,5,86,2.7545,2.752,0.212528,0.232967,0.212528,4.5169,0.248061,4.5169,0.227704,0.232967,0.401545,0.280271,0.253827,0.24421,0.274585,2.33356,0.248061,0.000312544,4.10526,0.00981602,5.27787,0.010153,31,31,24
11,3,89,2.64,2.64,0.253195,0.26139,0.212528,0.058077,0.0136997,4.5169,0.236931,0.253195,0.443272,0.293698,0.26139,0.24626,0.289355,2.49665,0.058077,0.000421957,6.8721,0.0136997,9.29626,0.00937759,34,31,24
12,12,101,2.86205,2.89839,0.258201,0.307858,0.307858,0.0674353,0.00485768,0.00485768,0.240955,0.258201,0.49815,0.305397,0.267175,0.25044,0.307858,3.04627,0.0674353,0.00116264,11.9455,0.031814,6.67323,0.00485768,40,33,28
13,8,109,2.86869,2.88292,0.258201,0.307858,0.307417,0.0674353,0.00485768,15.7374,0.251494,0.270382,0.515509,0.307417,0.274132,0.264715,0.314251,3.67558,0.105391,0.00287255,15.7374,0.0275127,2.72648,0.0128643,44,33,32
14,6,115,2.77216,2.77333,0.318133,0.261608,0.317141,37.5872,4.46388,0.00821642,0.261608,0.284023,0.522971,0.318133,0.284307,0.267434,0.317141,4.46388,0.0548165,0.000921181,37.5872,0.0315395,7.68079,0.00821642,45,36,34
15,2,117,2.88,2.88,0.338915,0.261608,0.338915,0.00547134,4.46388,0.00547134,0.270496,0.289011,0.534417,0.339088,0.295666,0.274112,0.338915,4.7617,0.0632428,0.00122558,26.5449,0.0901416,1.67682,0.00547134,46,36,35
16,5,122,2.77031,2.76768,0.338915,0.289094,0.338915,0.00547134,0.0100601,0.00547134,0.29125,0.289094,0.554568,0.361187,0.297248,0.288669,0.344192,12.6673,0.0100601,0.000757345,18.5522,0.0826095,4.15401,0.0162716,47,39,36
17,5,127,3.03835,3.1288,0.338915,0.289094,0.338915,0.00547134,0.0100601,0.00547134,0.309342,0.290478,0.571745,0.373335,0.302855,0.310719,0.358126,21.3177,0.0184374,0.000917949,2.14325,0.150776,1.44363,0.0131727,49,39,39
18,5,132,3.11583,3.68969,0.300815,0.289094,0.389133,0.0322956,0.0100601,0.482749,0.316464,0.300815,0.571986,0.389133,0.304127,0.314528,0.367591,59.1825,0.0322956,0.00478248,0.482749,0.216318,1.93454,0.027054,51,41,40
19,5,137,2.95561,2.97754,0.374078,0.301646,0.389133,0.150285,0.0242358,0.482749,0.334052,0.301646,0.635458,0.403439,0.31994,0.322133,0.374078,84.9816,0.0242358,0.0102466,0.658888,0.195824,1.17197,0.150285,52,44,41
