0,6,6,3.56022,3.60835,0.174098,0.174098,0.1491,0.31749,0.31749,0.2,0.174098,0.165233,0.217344,0.177805,0.164641,0.158673,0.180303,0.31749,0.0684305,0.101714,0.119085,0.0839545,0.727982,0.51445,2,0,4
1,9,15,3.02823,3.03847,0.174098,0.227716,0.1491,0.31749,0.0101248,0.2,0.174976,0.166466,0.227716,0.179923,0.170519,0.168941,0.182754,0.275327,0.0825396,0.0101248,0.250792,0.143188,0.532718,0.399309,4,4,7
2,16,31,2.77378,2.80798,0.190092,0.227716,0.171218,0.187882,0.0101248,0.106228,0.178901,0.171218,0.249751,0.190092,0.179337,0.171247,0.184285,0.203739,0.106228,0.00415586,0.187882,0.367263,0.824844,0.481571,9,11,11
3,8,39,2.61569,2.63312,0.185198,0.178983,0.185198,0.116435,0.759572,0.116435,0.182473,0.17516,0.291908,0.194213,0.185198,0.178983,0.201782,0.142174,0.111489,0.0177187,1.37047,0.116435,0.759572,0.666306,11,16,12
4,8,47,2.868,2.93532,0.180109,0.178983,0.185198,1.72689,0.759572,0.116435,0.183064,0.194613,0.31419,0.198337,0.188752,0.180109,0.207586,0.0560145,0.135794,0.02475,1.68926,0.154191,1.72689,0.433849,17,17,13
5,10,57,2.83966,3.04557,0.180109,0.178983,0.185198,1.72689,0.759572,0.116435,0.193676,0.197634,0.315665,0.201185,0.200552,0.186613,0.214782,0.271504,0.235059,0.0101237,2.15913,0.161331,1.88301,0.387375,20,22,15
6,9,66,2.82226,2.81221,0.180109,0.224644,0.185198,1.72689,0.0732979,0.116435,0.199913,0.210027,0.324194,0.234924,0.203671,0.212479,0.224644,0.221177,0.111504,0.00450616,0.366485,0.127522,5.0889,0.0732979,24,25,17
7,7,73,2.85482,2.86857,0.205514,0.224644,0.185198,0.255376,0.0732979,0.116435,0.205514,0.214585,0.32784,0.248824,0.203689,0.212528,0.239276,0.255376,0.183338,0.00154219,0.700451,0.72615,4.5169,0.0523556,28,26,19
8,11,84,2.90148,2.95151,0.376075,0.224644,0.376075,0.00076419,0.0732979,0.00076419,0.217355,0.216792,0.376075,0.250397,0.20971,0.223128,0.256177,0.351071,0.209745,0.00076419,1.5339,0.260395,6.25308,0.0143353,31,32,21
9,3,87,2.90581,2.91186,0.376075,0.224644,0.376075,0.00076419,0.0732979,0.00076419,0.227478,0.229261,0.400574,0.272761,0.224079,0.22921,0.272291,2.10688,0.557117,0.000328241,2.83568,0.108255,6.89227,0.0132206,33,33,21
10,4,91,2.90749,3.02198,0.227704,0.224644,0.401545,2.33356,0.0732979,0.000312544,0.227704,0.232967,0.401545,0.280271,0.253827,0.24421,0.274585,2.33356,0.248061,0.000312544,4.10526,0.00981602,5.27787,0.010153,33,35,23
11,3,94,2.77333,2.77333,0.24626,0.443272,0.253195,9.29626,0.000421957,0.058077,0.236931,0.253195,0.443272,0.293698,0.26139,0.24626,0.289355,2.49665,0.058077,0.000421957,6.8721,0.0136997,9.29626,0.00937759,34,35,25
12,11,105,2.89444,3.11687,0.267175,0.443272,0.253195,0.031814,0.000421957,0.058077,0.240955,0.258201,0.49815,0.305397,0.267175,0.25044,0.307858,3.04627,0.0674353,0.00116264,11.9455,0.031814,6.67323,0.00485768,37,38,30
13,6,111,3.22739,3.67339,0.307417,0.274132,0.253195,15.7374,0.0275127,0.058077,0.251494,0.270382,0.515509,0.307417,0.274132,0.264715,0.314251,3.67558,0.105391,0.00287255,15.7374,0.0275127,2.72648,0.0128643,40,40,31
14,8,119,2.79862,2.8,0.284307,0.318133,0.253195,0.0315395,37.5872,0.058077,0.261608,0.284023,0.522971,0.318133,0.284307,0.267434,0.317141,4.46388,0.0548165,0.000921181,37.5872,0.0315395,7.68079,0.00821642,43,43,33
15,4,123,2.92827,2.93602,0.284307,0.318133,0.274112,0.0315395,37.5872,1.67682,0.270496,0.289011,0.534417,0.339088,0.295666,0.274112,0.338915,4.7617,0.0632428,0.00122558,26.5449,0.0901416,1.67682,0.00547134,45,43,35
16,3,126,2.86035,2.86749,0.289094,0.318133,0.274112,0.0100601,37.5872,1.67682,0.29125,0.289094,0.554568,0.361187,0.297248,0.288669,0.344192,12.6673,0.0100601,0.000757345,18.5522,0.0826095,4.15401,0.0162716,46,45,35
17,7,133,2.79434,2.88277,0.289094,0.318133,0.274112,0.0100601,37.5872,1.67682,0.309342,0.290478,0.571745,0.373335,0.302855,0.310719,0.358126,21.3177,0.0184374,0.000917949,2.14325,0.150776,1.44363,0.0131727,46,52,35
18,6,139,2.98717,3.12698,0.304127,0.318133,0.316464,0.216318,37.5872,59.1825,0.316464,0.300815,0.571986,0.389133,0.304127,0.314528,0.367591,59.1825,0.0322956,0.00478248,0.482749,0.216318,1.93454,0.027054,48,54,37
19,10,149,3.00763,3.18498,0.304127,0.318133,0.374078,0.216318,37.5872,0.150285,0.334052,0.301646,0.635458,0.403439,0.31994,0.322133,0.374078,84.9816,0.0242358,0.0102466,0.658888,0.195824,1.17197,0.150285,52,58,39
