0,12,12,3.71899,4.03053,0.229424,0.151295,0.168713,0.255971,0.296009,0.396175,0.164078,0.168713,0.218622,0.229424,0.151295,0.163829,0.225719,0.130062,0.396175,0.100334,0.255971,0.296009,0.488672,0.1237,4,5,3
1,10,22,3.96633,3.99624,0.188033,0.151295,0.168713,0.203136,0.296009,0.396175,0.168269,0.188033,0.221822,0.254552,0.15521,0.17849,0.237338,0.11769,0.203136,0.0274526,0.386278,0.303172,1.06522,0.0928874,7,7,8
2,8,30,3.81147,3.81,0.188033,0.151295,0.168713,0.203136,0.296009,0.396175,0.172747,0.19457,0.230546,0.255312,0.167618,0.198294,0.237525,0.0361879,0.460619,0.0242782,0.18547,0.595789,0.694321,0.0989245,10,10,10
3,7,37,3.80865,3.82212,0.270349,0.184608,0.168713,0.279547,0.0618423,0.396175,0.184608,0.194982,0.246125,0.270349,0.168961,0.214227,0.240274,0.0618423,0.171201,0.0333178,0.279547,0.171373,0.2428,0.0382738,11,14,12
4,11,48,3.72914,3.77093,0.187632,0.184608,0.168713,0.12294,0.0618423,0.396175,0.187632,0.211231,0.267671,0.276605,0.173502,0.21476,0.25046,0.12294,0.535281,0.119043,0.557855,0.681357,0.274989,0.0805205,15,17,16
5,9,57,3.43598,3.45225,0.187632,0.184608,0.290504,0.12294,0.0618423,0.630785,0.201745,0.218098,0.27771,0.290504,0.183777,0.222024,0.276758,0.178717,0.862475,0.14292,0.630785,0.347312,2.19715,0.0532781,18,22,17
6,14,71,3.52532,3.65952,0.187632,0.184608,0.191238,0.12294,0.0618423,0.174013,0.203681,0.250972,0.287808,0.313307,0.191238,0.227518,0.290703,0.552085,0.354611,0.390363,0.792699,0.174013,5.99743,0.153877,22,28,21
7,5,76,3.35033,3.36127,0.187632,0.269721,0.191238,0.12294,0.19376,0.174013,0.210308,0.269721,0.303452,0.322403,0.199684,0.24029,0.291152,0.770428,0.19376,0.504168,1.41384,0.162033,13.9987,0.130895,24,29,23
8,7,83,3.35882,3.37046,0.248774,0.269721,0.191238,8.31714,0.19376,0.174013,0.216727,0.278169,0.329664,0.327058,0.207018,0.248774,0.293824,5.23247,0.335034,0.445545,2.09138,0.0466443,8.31714,0.0807863,27,31,25
9,13,96,3.32283,3.34993,0.248774,0.269721,0.191238,8.31714,0.19376,0.174013,0.22559,0.278204,0.332643,0.335976,0.219519,0.256596,0.29672,0.822002,1.0325,1.15308,1.63552,0.0589421,13.0036,0.115774,30,37,29
10,9,105,3.53777,3.75556,0.34504,0.269721,0.191238,0.589255,0.19376,0.174013,0.232007,0.283397,0.346517,0.34504,0.231588,0.271775,0.328123,0.735956,1.44131,2.72809,0.589255,0.209424,21.3925,0.223777,33,41,31
11,10,115,3.49973,3.62924,0.34504,0.352065,0.256331,0.589255,0.999719,0.193991,0.240091,0.30722,0.377784,0.352065,0.256331,0.287084,0.336581,0.984893,1.38122,7.07179,0.999719,0.193991,23.909,0.305842,38,43,34
12,13,128,3.39824,3.50352,0.34504,0.352065,0.263353,0.589255,0.999719,0.137007,0.244356,0.337298,0.436634,0.381226,0.263353,0.294685,0.377721,2.77993,0.52034,4.17471,2.97002,0.137007,18.5883,2.30411,43,48,37
13,5,133,3.28745,3.28,0.449994,0.352065,0.263353,11.0121,0.999719,0.137007,0.261289,0.341721,0.449994,0.437809,0.26909,0.31615,0.412348,7.18425,2.43276,11.0121,11.9416,0.12848,22.6968,0.75936,44,50,39
14,8,141,3.403,3.56103,0.457127,0.352065,0.263353,5.51523,0.999719,0.137007,0.271563,0.346393,0.457127,0.453896,0.28559,0.332769,0.435087,5.68212,2.63784,5.51523,7.72917,0.12234,41.1134,2.10463,48,53,40
15,9,150,3.3852,3.51122,0.457127,0.352065,0.263353,5.51523,0.999719,0.137007,0.274223,0.370394,0.474258,0.457122,0.297731,0.335711,0.437808,15.2322,5.58089,3.2796,32.1639,0.225085,568.101,2.5386,50,56,44
16,7,157,3.52747,3.7551,0.457127,0.352065,0.263353,5.51523,0.999719,0.137007,0.284797,0.396161,0.474764,0.470459,0.29918,0.36879,0.453715,11.0584,1.91833,8.45471,12.5849,0.116222,541.775,7.25952,52,57,48
17,4,161,3.34571,3.35159,0.401802,0.352065,0.263353,2.18823,0.999719,0.137007,0.306508,0.401802,0.485345,0.500958,0.30321,0.369664,0.466507,2.57793,2.18823,6.85819,10.9562,0.0359523,848.577,11.2956,53,59,49
18,8,169,3.38763,3.46368,0.401802,0.352065,0.263353,2.18823,0.999719,0.137007,0.319669,0.41793,0.493514,0.513939,0.303381,0.409453,0.469524,6.11265,1.50049,16.3499,9.83382,0.0613558,3137.7,5.98176,54,63,52
19,8,177,3.51759,3.71603,0.401802,0.352065,0.315762,2.18823,0.999719,0.0454192,0.351559,0.422347,0.495727,0.516499,0.315762,0.41059,0.524495,4.58034,0.734285,25.2899,5.17775,0.0454192,2519.62,13.2015,58,64,55
